['/images/drinks/water2.png', '/images/drinks/soda.png', '/images/sweets/sweets3.png', '/images/household/hh15.png']
['/images/fishmeat/steak.png', '/images/household/hh3.png', '/images/vegetables/carrots.png', '/images/fishmeat/chicken.png']
['/images/fruit/fig.png', '/images/fishmeat/meat2.png', '/images/fishmeat/meat1.png', '/images/sweets/lolipop.png']
['/images/household/hh7.png', '/images/vegetables/garlic2.png', '/images/sweets/choco.png', '/images/household/hh3.png']
['/images/drinks/ontherocks.png', '/images/fishmeat/milk3.png', '/images/icecream/icecream8.png', '/images/fruit/coconut.png']
['/images/sweets/jam.png', '/images/household/hh11.png', '/images/sweets/caramel_donut.png', '/images/fishmeat/sausage.png']
['/images/vegetables/tomato.png', '/images/drinks/wine2.png', '/images/household/hh18.png', '/images/icecream/icecream15.png']
['/images/icecream/icecream11.png', '/images/fishmeat/shrimp.png', '/images/household/hh10.png', '/images/vegetables/veggie1.png']
['/images/fishmeat/milk.png', '/images/household/hh6.png', '/images/sweets/jelly.png', '/images/drinks/champagne.png']
['/images/household/hh11.png', '/images/icecream/icecream15.png', '/images/household/hh6.png', '/images/sweets/cupcake1.png']
['/images/sweets/honey.png', '/images/sweets/choco.png', '/images/fishmeat/cheese2.png', '/images/icecream/icecream7.png']
['/images/fruit/strawberry.png', '/images/sweets/pancake.png', '/images/household/hh17.png', '/images/vegetables/garlic2.png']
['/images/fishmeat/shrimp.png', '/images/vegetables/cabbage.png', '/images/fishmeat/chicken.png', '/images/fishmeat/meat1.png']
['/images/household/hh16.png', '/images/vegetables/leaves.png', '/images/icecream/icecream3.png', '/images/fruit/strawberry.png']
['/images/drinks/wine1.png', '/images/sweets/lolipop.png', '/images/vegetables/onion.png', '/images/fruit/raspberry.png']
['/images/vegetables/leak.png', '/images/fishmeat/milk3.png', '/images/household/hh16.png', '/images/fishmeat/sushi2.png']
['/images/vegetables/carrots.png', '/images/sweets/nutella.png', '/images/fishmeat/eggs.png', '/images/fishmeat/egg.png']
