['/images/fishmeat/egg.png', '/images/fishmeat/kebab.png', '/images/vegetables/eggplant.png', '/images/fishmeat/sausage.png']
['/images/fruit/grapes.png', '/images/fishmeat/kebab.png', '/images/icecream/icecream8.png', '/images/sweets/sweets3.png']
['/images/fishmeat/steak.png', '/images/sweets/choco.png', '/images/household/hh10.png', '/images/fruit/apple.png']
['/images/household/hh15.png', '/images/fishmeat/meat2.png', '/images/household/hh10.png', '/images/sweets/choco.png']
['/images/drinks/water_glass.png', '/images/vegetables/onion.png', '/images/fruit/lemon.png', '/images/drinks/margarita.png']
['/images/household/hh10.png', '/images/fruit/banana.png', '/images/fishmeat/egg.png', '/images/vegetables/garlic1.png']
['/images/sweets/lolipop.png', '/images/drinks/champagne.png', '/images/fruit/pineapple.png', '/images/drinks/pepsi.png']
['/images/household/hh9.png', '/images/fishmeat/egg2.png', '/images/fishmeat/eggs.png', '/images/drinks/wine1.png']
['/images/household/hh8.png', '/images/fruit/cherry.png', '/images/fishmeat/meatroll.png', '/images/household/hh1.png']
['/images/sweets/cookie.png', '/images/household/hh3.png', '/images/household/hh14.png', '/images/household/hh7.png']
['/images/household/hh5.png', '/images/icecream/icecream9.png', '/images/fishmeat/steak.png', '/images/drinks/margarita.png']
['/images/drinks/starbucks2.png', '/images/fishmeat/shrimp.png', '/images/sweets/jam.png', '/images/vegetables/veggie1.png']
['/images/vegetables/tomato.png', '/images/drinks/water2.png', '/images/sweets/honey.png', '/images/sweets/choco.png']
['/images/sweets/jam.png', '/images/household/hh16.png', '/images/fruit/grapes.png', '/images/household/hh9.png']
['/images/sweets/sweets1.png', '/images/sweets/cupcake2.png', '/images/icecream/icecream4.png', '/images/household/hh19.png']
['/images/sweets/caramel_donut.png', '/images/fishmeat/milk3.png', '/images/icecream/icecream7.png', '/images/icecream/icecream14.png']
['/images/fruit/watermelon.png', '/images/vegetables/leak.png', '/images/sweets/caramel_donut.png', '/images/icecream/icecream11.png']
['/images/icecream/icecream7.png', '/images/icecream/icecream4.png', '/images/vegetables/chilli.png', '/images/vegetables/leaves.png']
['/images/icecream/icecream12.png', '/images/drinks/ontherocks.png', '/images/household/hh8.png', '/images/vegetables/chilli.png']
['/images/fishmeat/cheese.png', '/images/sweets/caramel_donut.png', '/images/icecream/icecream5.png', '/images/fishmeat/cheese.png']
['/images/drinks/wine1.png', '/images/sweets/white_donut.png', '/images/vegetables/garlic2.png', '/images/sweets/lolipop.png']
