['/images/fishmeat/kebab.png', '/images/sweets/jelly.png', '/images/sweets/cookie2.png', '/images/household/hh4.png']
['/images/sweets/cookie.png', '/images/sweets/lolipop.png', '/images/vegetables/cucumber.png', '/images/fishmeat/milk.png']
['/images/household/hh9.png', '/images/icecream/icecream5.png', '/images/fishmeat/steak.png', '/images/icecream/icecream2.png']
['/images/fruit/cherry.png', '/images/fruit/pear.png', '/images/vegetables/leaves.png', '/images/vegetables/cabbage.png']
['/images/vegetables/peas.png', '/images/icecream/icecream4.png', '/images/sweets/sweets2.png', '/images/fruit/banana.png']
['/images/fruit/pear.png', '/images/household/hh4.png', '/images/fruit/lime.png', '/images/icecream/icecream8.png']
['/images/fishmeat/milk2.png', '/images/sweets/croissant.png', '/images/icecream/icecream6.png', '/images/icecream/icecream7.png']
['/images/household/hh9.png', '/images/sweets/sweets1.png', '/images/household/hh16.png', '/images/fishmeat/sushi2.png']
['/images/vegetables/peas.png', '/images/household/hh2.png', '/images/fishmeat/shrimp.png', '/images/fruit/banana.png']
['/images/fishmeat/meat1.png', '/images/icecream/icecream8.png', '/images/household/hh15.png', '/images/drinks/champagne.png']
['/images/fishmeat/steak.png', '/images/sweets/sweets2.png', '/images/icecream/icecream10.png', '/images/fishmeat/salmon.png']
['/images/fishmeat/meat2.png', '/images/vegetables/eggplant.png', '/images/vegetables/veggie1.png', '/images/fishmeat/milk2.png']
['/images/household/hh4.png', '/images/drinks/ontherocks.png', '/images/sweets/jam2.png', '/images/icecream/icecream1.png']
['/images/fishmeat/fish.png', '/images/sweets/sweets2.png', '/images/fruit/lime.png', '/images/sweets/cupcake1.png']
['/images/fishmeat/fishroll.png', '/images/fishmeat/salmon.png', '/images/sweets/jelly.png', '/images/sweets/croissant.png']
['/images/icecream/icecream10.png', '/images/drinks/beer.png', '/images/sweets/choco.png', '/images/icecream/icecream10.png']
['/images/fishmeat/meat2.png', '/images/drinks/water.png', '/images/drinks/water2.png', '/images/sweets/jelly.png']
['/images/fishmeat/fish.png', '/images/fishmeat/kebab.png', '/images/fruit/blueberry.png', '/images/sweets/honey.png']
['/images/fruit/grapes.png', '/images/vegetables/carrots.png', '/images/icecream/icecream10.png', '/images/sweets/pancake.png']
['/images/sweets/jelly.png', '/images/household/hh7.png', '/images/fishmeat/salmon.png', '/images/fishmeat/kebab.png']
['/images/icecream/icecream14.png', '/images/fishmeat/sushi1.png', '/images/fruit/coconut.png', '/images/fishmeat/sushi2.png']
['/images/icecream/icecream15.png', '/images/fishmeat/kebab.png', '/images/household/hh14.png', '/images/icecream/icecream8.png']
['/images/fishmeat/meat1.png', '/images/drinks/starbucks2.png', '/images/fruit/apple.png', '/images/vegetables/avocado.png']
['/images/drinks/ontherocks.png', '/images/icecream/icecream4.png', '/images/sweets/nutella.png', '/images/sweets/jam2.png']
['/images/fishmeat/meat1.png', '/images/drinks/wine1.png', '/images/fruit/fig.png', '/images/household/hh3.png']
['/images/sweets/sweets3.png', '/images/fruit/strawberry.png', '/images/fruit/pineapple.png', '/images/icecream/icecream11.png']
['/images/fishmeat/bacon.png', '/images/vegetables/avocado.png', '/images/sweets/jelly.png', '/images/fishmeat/cheese2.png']
['/images/icecream/icecream14.png', '/images/fruit/strawberry.png', '/images/fishmeat/shrimp.png', '/images/sweets/jelly.png']
['/images/household/hh9.png', '/images/icecream/icecream4.png', '/images/drinks/water.png', '/images/drinks/water2.png']
['/images/fruit/pear.png', '/images/household/hh13.png', '/images/sweets/lolipop.png', '/images/sweets/jelly.png']
['/images/sweets/nutella.png', '/images/vegetables/garlic1.png', '/images/vegetables/leaves.png', '/images/icecream/icecream5.png']
['/images/household/hh14.png', '/images/sweets/cupcake2.png', '/images/vegetables/avocado.png', '/images/sweets/cookie2.png']
['/images/household/hh11.png', '/images/sweets/sweets2.png', '/images/icecream/icecream6.png', '/images/sweets/jam.png']
['/images/fruit/apple.png', '/images/drinks/margarita.png', '/images/icecream/icecream8.png', '/images/household/hh2.png']
['/images/icecream/icecream12.png', '/images/icecream/icecream3.png', '/images/drinks/starbucks2.png', '/images/fishmeat/cheese.png']
['/images/fruit/banana.png', '/images/fruit/orange.png', '/images/sweets/white_donut.png', '/images/fruit/coconut.png']
['/images/icecream/icecream13.png', '/images/drinks/pepsi.png', '/images/household/hh3.png', '/images/sweets/white_donut.png']
['/images/fishmeat/salmon.png', '/images/vegetables/bellpepper.png', '/images/fishmeat/kebab.png', '/images/fishmeat/bacon.png']
['/images/drinks/starbucks1.png', '/images/fruit/raspberry.png', '/images/fishmeat/cheese2.png', '/images/fruit/apple.png']
['/images/household/hh17.png', '/images/icecream/icecream15.png', '/images/fruit/orange.png', '/images/fishmeat/eggs.png']
['/images/fishmeat/egg2.png', '/images/fishmeat/steak.png', '/images/household/hh11.png', '/images/sweets/cookie2.png']
['/images/fishmeat/cheese.png', '/images/fruit/fig.png', '/images/sweets/jam2.png', '/images/fishmeat/fish.png']
['/images/fishmeat/sausage2.png', '/images/vegetables/garlic2.png', '/images/sweets/jelly.png', '/images/fishmeat/fish.png']
['/images/fishmeat/meat1.png', '/images/fishmeat/sushi2.png', '/images/icecream/icecream6.png', '/images/household/hh9.png']
['/images/household/hh14.png', '/images/fishmeat/cheese2.png', '/images/fruit/blueberry.png', '/images/household/hh6.png']
['/images/household/hh12.png', '/images/fishmeat/milk3.png', '/images/vegetables/cucumber.png', '/images/fishmeat/fish.png']
['/images/sweets/pancake.png', '/images/icecream/icecream5.png', '/images/drinks/ontherocks.png', '/images/icecream/icecream11.png']
['/images/drinks/pepsi.png', '/images/household/hh20.png', '/images/sweets/croissant.png', '/images/drinks/starbucks1.png']
['/images/household/hh16.png', '/images/vegetables/garlic2.png', '/images/sweets/cookie2.png', '/images/sweets/jelly.png']
['/images/fishmeat/steak.png', '/images/vegetables/tomato.png', '/images/household/hh6.png', '/images/sweets/sweets2.png']
['/images/fishmeat/sausage2.png', '/images/sweets/cookie2.png', '/images/household/hh7.png', '/images/vegetables/cabbage.png']
['/images/fruit/cherry.png', '/images/fishmeat/milk3.png', '/images/household/hh9.png', '/images/sweets/jelly.png']
['/images/household/hh18.png', '/images/fruit/pear.png', '/images/fishmeat/milk.png', '/images/fruit/watermelon.png']
['/images/fruit/cherry.png', '/images/icecream/icecream8.png', '/images/fishmeat/fish.png', '/images/sweets/jelly.png']
['/images/fishmeat/meat2.png', '/images/fruit/orange.png', '/images/vegetables/onion.png', '/images/fishmeat/sushi1.png']
['/images/sweets/jam.png', '/images/icecream/icecream7.png', '/images/vegetables/bellpepper.png', '/images/sweets/jam.png']
['/images/household/hh2.png', '/images/sweets/choco.png', '/images/vegetables/cabbage.png', '/images/fishmeat/kebab.png']
['/images/fishmeat/cheese.png', '/images/drinks/soda.png', '/images/sweets/sweets2.png', '/images/vegetables/broccoli.png']
['/images/vegetables/aspargus.png', '/images/vegetables/leak.png', '/images/drinks/water.png', '/images/fishmeat/sausage2.png']
['/images/icecream/icecream8.png', '/images/sweets/pancake.png', '/images/vegetables/avocado.png', '/images/icecream/icecream13.png']
['/images/sweets/cookie2.png', '/images/icecream/icecream9.png', '/images/fishmeat/milk2.png', '/images/fruit/lemon.png']
['/images/household/hh17.png', '/images/drinks/beer.png', '/images/sweets/cookie.png', '/images/fruit/raspberry.png']
['/images/icecream/icecream2.png', '/images/icecream/icecream7.png', '/images/icecream/icecream12.png', '/images/household/hh6.png']
['/images/household/hh4.png', '/images/vegetables/peas.png', '/images/fishmeat/sausage2.png', '/images/icecream/icecream4.png']
['/images/household/hh7.png', '/images/sweets/cookie.png', '/images/vegetables/onion.png', '/images/vegetables/tomato.png']
['/images/vegetables/leak.png', '/images/sweets/croissant.png', '/images/vegetables/tomato.png', '/images/fruit/strawberry.png']
['/images/sweets/pink_donut.png', '/images/fruit/strawberry.png', '/images/drinks/wine1.png', '/images/household/hh10.png']
['/images/fruit/cherry.png', '/images/icecream/icecream12.png', '/images/fishmeat/octopus.png', '/images/household/hh8.png']
['/images/fruit/cherry.png', '/images/fishmeat/shrimp.png', '/images/fishmeat/meatroll.png', '/images/household/hh5.png']
['/images/fruit/pear.png', '/images/vegetables/cabbage.png', '/images/household/hh15.png', '/images/fishmeat/milk2.png']
['/images/drinks/wine1.png', '/images/vegetables/onion.png', '/images/icecream/icecream3.png', '/images/vegetables/tomato.png']
['/images/vegetables/aspargus.png', '/images/fishmeat/sausage2.png', '/images/fishmeat/milk.png', '/images/fishmeat/sushi2.png']
['/images/icecream/icecream6.png', '/images/icecream/icecream15.png', '/images/household/hh18.png', '/images/icecream/icecream3.png']
['/images/drinks/water_glass.png', '/images/icecream/icecream10.png', '/images/icecream/icecream5.png', '/images/sweets/honey.png']
['/images/fishmeat/sushi1.png', '/images/icecream/icecream1.png', '/images/vegetables/corn.png', '/images/sweets/jam.png']
['/images/fishmeat/meat2.png', '/images/household/hh14.png', '/images/household/hh19.png', '/images/fishmeat/eggs.png']
['/images/icecream/icecream9.png', '/images/fishmeat/eggs.png', '/images/sweets/honey.png', '/images/sweets/jelly.png']
['/images/drinks/margarita.png', '/images/sweets/pink_donut.png', '/images/sweets/caramel_donut.png', '/images/icecream/icecream12.png']
['/images/fruit/pear.png', '/images/drinks/wine1.png', '/images/drinks/wine2.png', '/images/vegetables/chilli.png']
['/images/drinks/starbucks1.png', '/images/vegetables/garlic2.png', '/images/sweets/sweets3.png', '/images/sweets/pancakes.png']
['/images/vegetables/aspargus.png', '/images/vegetables/broccoli.png', '/images/drinks/starbucks1.png', '/images/drinks/water_glass.png']
['/images/household/hh13.png', '/images/sweets/cookie.png', '/images/sweets/choco.png', '/images/drinks/starbucks1.png']
['/images/household/hh14.png', '/images/sweets/choco.png', '/images/fishmeat/meatroll.png', '/images/household/hh7.png']
['/images/vegetables/eggplant.png', '/images/icecream/icecream10.png', '/images/sweets/sweets3.png', '/images/icecream/icecream12.png']
['/images/household/hh3.png', '/images/household/hh12.png', '/images/fruit/banana.png', '/images/vegetables/aspargus.png']
['/images/drinks/water.png', '/images/fishmeat/octopus.png', '/images/sweets/white_donut.png', '/images/fishmeat/sushi2.png']
['/images/fishmeat/cheese2.png', '/images/fruit/cherry.png', '/images/drinks/wine1.png', '/images/sweets/honey.png']
['/images/drinks/wine1.png', '/images/sweets/choco.png', '/images/household/hh16.png', '/images/drinks/wine1.png']
['/images/fishmeat/sausage2.png', '/images/household/hh13.png', '/images/sweets/pancake.png', '/images/fishmeat/sushi2.png']
['/images/drinks/water.png', '/images/vegetables/carrots.png', '/images/icecream/icecream5.png', '/images/fishmeat/bacon.png']
['/images/icecream/icecream14.png', '/images/household/hh3.png', '/images/fishmeat/sausage.png', '/images/household/hh19.png']
['/images/fruit/coconut.png', '/images/sweets/pancakes.png', '/images/sweets/pancake.png', '/images/vegetables/tomato.png']
['/images/drinks/starbucks2.png', '/images/household/hh17.png', '/images/fishmeat/eggs.png', '/images/household/hh3.png']
['/images/household/hh3.png', '/images/household/hh1.png', '/images/fruit/lime.png', '/images/fishmeat/sausage2.png']
['/images/household/hh12.png', '/images/vegetables/corn.png', '/images/fishmeat/sausage2.png', '/images/vegetables/veggie1.png']
['/images/vegetables/tomato.png', '/images/household/hh8.png', '/images/household/hh5.png', '/images/sweets/choco.png']
['/images/vegetables/soy.png', '/images/household/hh2.png', '/images/drinks/pepsi.png', '/images/fishmeat/milk.png']
['/images/fishmeat/milk2.png', '/images/vegetables/soy.png', '/images/fruit/pear.png', '/images/sweets/cupcake1.png']
['/images/fishmeat/meatroll.png', '/images/fruit/lime.png', '/images/household/hh19.png', '/images/fishmeat/cheese2.png']
['/images/fruit/coconut.png', '/images/drinks/water_glass.png', '/images/fruit/pear.png', '/images/drinks/pepsi.png']
