current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627896355.9374602,logger/exp-exp/2168728,0,x,0,1,25,0,PRESENTED,False,integrity
1627896355.9570637,logger/exp-exp/2168728,1,z,0,1,28,0,PRESENTED,False,integrity
1627896365.37584,logger/exp-exp/2168728,0,x,9,1,25,0,ACCEPTED,False,integrity
1627896365.3906114,logger/exp-exp/2168728,1,z,9,1,28,0,DISCARDED,False,integrity
1627896365.3906846,logger/exp-exp/2168728,2,z,9,1,20,0,PRESENTED,False,integrity
1627896439.5814211,logger/exp-exp/2168728,0,x,146,1,25,1,DONE,True,integrity
1627896439.5815096,logger/exp-exp/2168728,3,x,146,1,24,0,PRESENTED,False,integrity
1627896450.4070919,logger/exp-exp/2168728,3,x,157,1,24,0,DISCARDED,False,integrity
1627896450.4071732,logger/exp-exp/2168728,4,x,157,1,21,0,PRESENTED,False,integrity
1627896450.4277842,logger/exp-exp/2168728,2,z,157,1,20,0,ACCEPTED,False,integrity
1627896510.259263,logger/exp-exp/2168728,2,z,288,1,20,1,DONE,True,integrity
1627896510.2593486,logger/exp-exp/2168728,5,z,288,1,16,0,PRESENTED,False,integrity
1627896517.8563528,logger/exp-exp/2168728,4,x,298,1,21,0,ACCEPTED,False,integrity
1627896517.8728414,logger/exp-exp/2168728,5,z,298,1,16,0,DISCARDED,False,integrity
1627896517.8729103,logger/exp-exp/2168728,6,z,298,1,24,0,PRESENTED,False,integrity
1627896554.524592,logger/exp-exp/2168728,4,x,355,1,21,1,DONE,True,integrity
1627896554.5246744,logger/exp-exp/2168728,7,x,355,1,14,0,PRESENTED,False,integrity
1627896560.9066067,logger/exp-exp/2168728,7,x,355,1,14,0,ACCEPTED,False,integrity
1627896560.9221282,logger/exp-exp/2168728,6,z,355,1,24,0,DISCARDED,False,integrity
1627896560.9221919,logger/exp-exp/2168728,8,z,355,1,19,0,PRESENTED,False,integrity
1627896584.938354,logger/exp-exp/2168728,7,x,396,1,14,1,DONE,True,integrity
1627896584.949746,logger/exp-exp/2168728,9,x,396,1,20,0,PRESENTED,False,integrity
1627896591.4244177,logger/exp-exp/2168728,9,x,401,1,20,0,ACCEPTED,False,integrity
1627896591.4395454,logger/exp-exp/2168728,8,z,401,1,19,0,DISCARDED,False,integrity
1627896591.4396057,logger/exp-exp/2168728,10,z,401,1,25,0,PRESENTED,False,integrity
1627896627.3533623,logger/exp-exp/2168728,9,x,443,1,20,1,DONE,True,integrity
1627896627.3534577,logger/exp-exp/2168728,11,x,443,1,20,0,PRESENTED,False,integrity
1627896632.1863444,logger/exp-exp/2168728,11,x,443,1,20,0,ACCEPTED,False,integrity
1627896632.201711,logger/exp-exp/2168728,10,z,443,1,25,0,DISCARDED,False,integrity
1627896632.2017705,logger/exp-exp/2168728,12,z,443,1,32,0,PRESENTED,False,integrity
1627896671.8265595,logger/exp-exp/2168728,11,x,498,1,20,1,DONE,True,integrity
1627896671.826637,logger/exp-exp/2168728,13,x,498,1,24,0,PRESENTED,False,integrity
1627896676.3087053,logger/exp-exp/2168728,13,x,501,1,24,0,ACCEPTED,False,integrity
1627896676.323894,logger/exp-exp/2168728,12,z,501,1,32,0,DISCARDED,False,integrity
1627896676.3239536,logger/exp-exp/2168728,14,z,501,1,19,0,PRESENTED,False,integrity
1627896700.8465667,logger/exp-exp/2168728,13,x,545,1,24,1,DONE,True,integrity
1627896700.8466418,logger/exp-exp/2168728,15,x,545,1,20,0,PRESENTED,False,integrity
1627896705.9025414,logger/exp-exp/2168728,15,x,545,1,20,0,ACCEPTED,False,integrity
1627896705.9179654,logger/exp-exp/2168728,14,z,545,1,19,0,DISCARDED,False,integrity
1627896705.9180264,logger/exp-exp/2168728,16,z,545,1,35,0,PRESENTED,False,integrity
1627896790.647683,logger/exp-exp/2168728,15,x,715,1,20,1,DONE,True,integrity
1627896790.6490822,logger/exp-exp/2168728,17,x,715,1,23,0,PRESENTED,False,integrity
1627896795.6812139,logger/exp-exp/2168728,17,x,716,1,23,0,ACCEPTED,False,integrity
1627896795.69823,logger/exp-exp/2168728,16,z,716,1,35,0,DISCARDED,False,integrity
1627896795.6982963,logger/exp-exp/2168728,18,z,716,1,30,0,PRESENTED,False,integrity
1627896833.154487,logger/exp-exp/2168728,17,x,803,1,23,1,DONE,True,integrity
1627896833.1545737,logger/exp-exp/2168728,19,x,803,1,18,0,PRESENTED,False,integrity
1627896838.1360788,logger/exp-exp/2168728,19,x,803,1,18,0,ACCEPTED,False,integrity
1627896838.1514502,logger/exp-exp/2168728,18,z,803,1,30,0,DISCARDED,False,integrity
1627896838.152931,logger/exp-exp/2168728,20,z,803,1,26,0,PRESENTED,False,integrity
1627896933.6564686,logger/exp-exp/2168728,19,x,985,1,18,0,GIVEUP,False,integrity
1627896933.6565475,logger/exp-exp/2168728,21,x,985,1,18,0,PRESENTED,False,integrity
1627896939.7394252,logger/exp-exp/2168728,21,x,996,1,18,0,DISCARDED,False,integrity
1627896939.7394946,logger/exp-exp/2168728,22,x,996,1,30,0,PRESENTED,False,integrity
1627896939.7603817,logger/exp-exp/2168728,20,z,996,1,26,0,ACCEPTED,False,integrity
