current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1626766344.147774,logger/pilot-1/1038738,0,x,0,1,14,0,PRESENTED,False,benevolence
1626766344.1898718,logger/pilot-1/1038738,1,z,0,1,23,0,PRESENTED,False,benevolence
1626766352.8095489,logger/pilot-1/1038738,0,x,1,1,14,0,ACCEPTED,False,benevolence
1626766352.8450727,logger/pilot-1/1038738,1,z,1,1,23,0,DISCARDED,False,benevolence
1626766352.8451376,logger/pilot-1/1038738,2,z,1,1,31,0,PRESENTED,False,benevolence
1626766390.1867602,logger/pilot-1/1038738,0,x,46,1,14,1,DONE,True,benevolence
1626766390.186867,logger/pilot-1/1038738,3,x,46,1,14,0,PRESENTED,False,benevolence
1626766402.2958443,logger/pilot-1/1038738,3,x,49,1,14,0,DISCARDED,False,benevolence
1626766402.2959318,logger/pilot-1/1038738,4,x,49,1,26,0,PRESENTED,False,benevolence
1626766402.3252456,logger/pilot-1/1038738,2,z,49,1,31,0,ACCEPTED,False,benevolence
1626766434.5243795,logger/pilot-1/1038738,2,z,106,1,31,1,DONE,True,benevolence
1626766434.524496,logger/pilot-1/1038738,5,z,106,1,14,0,PRESENTED,False,benevolence
1626766439.6540873,logger/pilot-1/1038738,4,x,109,1,26,0,ACCEPTED,False,benevolence
1626766439.6744757,logger/pilot-1/1038738,5,z,109,1,14,0,DISCARDED,False,benevolence
1626766439.6745567,logger/pilot-1/1038738,6,z,109,1,20,0,PRESENTED,False,benevolence
1626766476.2496433,logger/pilot-1/1038738,4,x,174,1,26,1,DONE,True,benevolence
1626766476.2498484,logger/pilot-1/1038738,7,x,174,1,21,0,PRESENTED,False,benevolence
1626766481.538792,logger/pilot-1/1038738,7,x,176,1,21,0,ACCEPTED,False,benevolence
1626766481.5608575,logger/pilot-1/1038738,6,z,176,1,20,0,DISCARDED,False,benevolence
1626766481.5609334,logger/pilot-1/1038738,8,z,176,1,27,0,PRESENTED,False,benevolence
1626766506.049067,logger/pilot-1/1038738,7,x,232,1,21,1,DONE,True,benevolence
1626766506.0492654,logger/pilot-1/1038738,9,x,232,1,26,0,PRESENTED,False,benevolence
1626766511.5895696,logger/pilot-1/1038738,9,x,233,1,26,0,ACCEPTED,False,benevolence
1626766511.6118047,logger/pilot-1/1038738,8,z,233,1,27,0,DISCARDED,False,benevolence
1626766511.6118703,logger/pilot-1/1038738,10,z,233,1,26,0,PRESENTED,False,benevolence
1626766538.8774962,logger/pilot-1/1038738,9,x,293,1,26,1,DONE,True,benevolence
1626766538.8776278,logger/pilot-1/1038738,11,x,293,1,14,0,PRESENTED,False,benevolence
1626766542.95012,logger/pilot-1/1038738,11,x,293,1,14,0,ACCEPTED,False,benevolence
1626766542.9723454,logger/pilot-1/1038738,10,z,293,1,26,0,DISCARDED,False,benevolence
1626766542.9724143,logger/pilot-1/1038738,12,z,293,1,34,0,PRESENTED,False,benevolence
1626766561.7026184,logger/pilot-1/1038738,11,x,335,1,14,1,DONE,True,benevolence
1626766561.7027373,logger/pilot-1/1038738,13,x,335,1,24,0,PRESENTED,False,benevolence
1626766565.9806376,logger/pilot-1/1038738,13,x,335,1,24,0,ACCEPTED,False,benevolence
1626766566.0009604,logger/pilot-1/1038738,12,z,335,1,34,0,DISCARDED,False,benevolence
1626766566.0010252,logger/pilot-1/1038738,14,z,335,1,24,0,PRESENTED,False,benevolence
1626766588.9669883,logger/pilot-1/1038738,13,x,393,1,24,1,DONE,True,benevolence
1626766588.9671185,logger/pilot-1/1038738,15,x,393,1,28,0,PRESENTED,False,benevolence
1626766596.883273,logger/pilot-1/1038738,15,x,395,1,28,0,DISCARDED,False,benevolence
1626766596.8833795,logger/pilot-1/1038738,16,x,395,1,18,0,PRESENTED,False,benevolence
1626766596.912497,logger/pilot-1/1038738,14,z,395,1,24,0,ACCEPTED,False,benevolence
