current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1626795580.3682823,logger/pilot-exp/1067965,0,x,0,1,18,0,PRESENTED,False,ability
1626795580.3929362,logger/pilot-exp/1067965,1,z,0,1,14,0,PRESENTED,False,ability
1626795590.7250896,logger/pilot-exp/1067965,0,x,3,1,18,0,ACCEPTED,False,ability
1626795590.7456436,logger/pilot-exp/1067965,1,z,3,1,14,0,DISCARDED,False,ability
1626795590.7457063,logger/pilot-exp/1067965,2,z,3,1,20,0,PRESENTED,False,ability
1626795618.2933264,logger/pilot-exp/1067965,0,x,47,1,18,1,DONE,True,ability
1626795618.2934213,logger/pilot-exp/1067965,3,x,47,1,21,0,PRESENTED,False,ability
1626795627.4929993,logger/pilot-exp/1067965,3,x,47,1,21,0,ACCEPTED,False,ability
1626795627.5147512,logger/pilot-exp/1067965,2,z,47,1,20,0,DISCARDED,False,ability
1626795627.5148175,logger/pilot-exp/1067965,4,z,47,1,27,0,PRESENTED,False,ability
1626795660.0581458,logger/pilot-exp/1067965,3,x,98,1,21,1,DONE,True,ability
1626795660.058244,logger/pilot-exp/1067965,5,x,98,1,25,0,PRESENTED,False,ability
1626795666.3953936,logger/pilot-exp/1067965,5,x,101,1,25,0,DISCARDED,False,ability
1626795666.3954897,logger/pilot-exp/1067965,6,x,101,1,23,0,PRESENTED,False,ability
1626795666.4243798,logger/pilot-exp/1067965,4,z,101,1,27,0,ACCEPTED,False,ability
1626795707.7725732,logger/pilot-exp/1067965,4,z,159,1,27,1,DONE,True,ability
1626795707.7739472,logger/pilot-exp/1067965,7,z,159,1,11,0,PRESENTED,False,ability
1626795716.674356,logger/pilot-exp/1067965,6,x,162,1,23,0,DISCARDED,False,ability
1626795716.6754656,logger/pilot-exp/1067965,8,x,162,1,29,0,PRESENTED,False,ability
1626795716.7056072,logger/pilot-exp/1067965,7,z,162,1,11,0,ACCEPTED,False,ability
1626795750.4724622,logger/pilot-exp/1067965,7,z,198,1,11,1,DONE,True,ability
1626795750.4725842,logger/pilot-exp/1067965,9,z,198,1,24,0,PRESENTED,False,ability
1626795759.3504324,logger/pilot-exp/1067965,8,x,199,1,29,0,DISCARDED,False,ability
1626795759.3505356,logger/pilot-exp/1067965,10,x,199,1,14,0,PRESENTED,False,ability
1626795759.379998,logger/pilot-exp/1067965,9,z,199,1,24,0,ACCEPTED,False,ability
1626795785.5387936,logger/pilot-exp/1067965,9,z,256,1,24,1,DONE,True,ability
1626795785.5389066,logger/pilot-exp/1067965,11,z,256,1,17,0,PRESENTED,False,ability
1626795792.122943,logger/pilot-exp/1067965,10,x,256,1,14,0,ACCEPTED,False,ability
1626795792.2240047,logger/pilot-exp/1067965,11,z,256,1,17,0,DISCARDED,False,ability
1626795792.2242093,logger/pilot-exp/1067965,12,z,256,1,14,0,PRESENTED,False,ability
1626795816.7764564,logger/pilot-exp/1067965,10,x,296,1,14,1,DONE,True,ability
1626795816.7765596,logger/pilot-exp/1067965,13,x,296,1,25,0,PRESENTED,False,ability
1626795837.8474028,logger/pilot-exp/1067965,13,x,301,1,25,0,DISCARDED,False,ability
1626795837.8475757,logger/pilot-exp/1067965,14,x,301,1,18,0,PRESENTED,False,ability
1626795837.8778422,logger/pilot-exp/1067965,12,z,301,1,14,0,ACCEPTED,False,ability
1626795872.752372,logger/pilot-exp/1067965,12,z,344,1,14,1,DONE,True,ability
1626795872.752479,logger/pilot-exp/1067965,15,z,344,1,23,0,PRESENTED,False,ability
1626795881.5414085,logger/pilot-exp/1067965,14,x,344,1,18,0,DISCARDED,False,ability
1626795881.5415266,logger/pilot-exp/1067965,16,x,344,1,26,0,PRESENTED,False,ability
1626795881.636303,logger/pilot-exp/1067965,15,z,344,1,23,0,ACCEPTED,False,ability
1626795908.7423558,logger/pilot-exp/1067965,15,z,383,1,23,1,DONE,True,ability
1626795908.7424765,logger/pilot-exp/1067965,17,z,383,1,26,0,PRESENTED,False,ability
1626795919.8333087,logger/pilot-exp/1067965,16,x,386,1,26,0,ACCEPTED,False,ability
1626795919.8536668,logger/pilot-exp/1067965,17,z,386,1,26,0,DISCARDED,False,ability
1626795919.853735,logger/pilot-exp/1067965,18,z,386,1,27,0,PRESENTED,False,ability
1626795959.606617,logger/pilot-exp/1067965,16,x,446,1,26,1,DONE,True,ability
1626795959.606719,logger/pilot-exp/1067965,19,x,446,1,14,0,PRESENTED,False,ability
1626795970.0787823,logger/pilot-exp/1067965,19,x,446,1,14,0,DISCARDED,False,ability
1626795970.0788898,logger/pilot-exp/1067965,20,x,446,1,10,0,PRESENTED,False,ability
1626795970.10804,logger/pilot-exp/1067965,18,z,446,1,27,0,ACCEPTED,False,ability
1626796000.5686865,logger/pilot-exp/1067965,18,z,501,1,27,1,DONE,True,ability
1626796000.5687861,logger/pilot-exp/1067965,21,z,501,1,34,0,PRESENTED,False,ability
1626796007.9523284,logger/pilot-exp/1067965,20,x,501,1,10,0,ACCEPTED,False,ability
1626796007.974058,logger/pilot-exp/1067965,21,z,501,1,34,0,DISCARDED,False,ability
