current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1626797400.25249,logger/pilot-trial/1069476,0,x,0,1,34,0,PRESENTED,False,benevolence
1626797400.2792287,logger/pilot-trial/1069476,1,z,0,1,15,0,PRESENTED,False,benevolence
1626797794.503406,logger/pilot-trial/1069476,0,x,7,1,34,0,ACCEPTED,False,benevolence
1626797794.5240803,logger/pilot-trial/1069476,1,z,7,1,15,0,DISCARDED,False,benevolence
1626797794.5241525,logger/pilot-trial/1069476,2,z,7,1,27,0,PRESENTED,False,benevolence
1626797866.4934714,logger/pilot-trial/1069476,0,x,84,1,34,1,DONE,True,benevolence
1626797866.4935992,logger/pilot-trial/1069476,3,x,84,1,28,0,PRESENTED,False,benevolence
1626797896.0733194,logger/pilot-trial/1069476,3,x,89,1,28,0,DISCARDED,False,benevolence
1626797896.0734298,logger/pilot-trial/1069476,4,x,89,1,14,0,PRESENTED,False,benevolence
1626797896.1026313,logger/pilot-trial/1069476,2,z,89,1,27,0,ACCEPTED,False,benevolence
1626797950.6397712,logger/pilot-trial/1069476,2,z,173,1,27,1,DONE,True,benevolence
1626797950.6398685,logger/pilot-trial/1069476,5,z,173,1,29,0,PRESENTED,False,benevolence
1626797973.102263,logger/pilot-trial/1069476,4,x,179,1,14,0,ACCEPTED,False,benevolence
1626797973.1239388,logger/pilot-trial/1069476,5,z,179,1,29,0,DISCARDED,False,benevolence
1626797973.124021,logger/pilot-trial/1069476,6,z,179,1,15,0,PRESENTED,False,benevolence
